正题名,创建日期,导演,演员,出品年代,内容描述,总集数,分类名称,连续剧分类,字母语种,声轨,声道语种,地区参数,画面高宽比,编码格式,编码码率,彩色.黑白,来源,批次,标清.高清,内容编号,素材分类,标识,素材分类.1,编目层ID,入点,时长,编目层,首播日期,素材大小,海报
05月12日 新葫芦兄弟(中央少儿),2017/5/13 10:40,无,无,2017,05月12日 新葫芦兄弟,1,电视剧场\大陆剧场,新葫芦兄弟,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10042,少儿,高清,16498,无,33266,1,33018,00:00.0,21:59.1,节目层,无,1258.52,40725
思美人(25),2017/5/13 10:06,张孝正，丁仰国,马可，张馨予，乔振宇，易烊千玺,2016,中国战国时期，群雄争锋。生于名门的屈原，机缘巧合爱上了民间女奴莫愁女。然而，身处内忧外患、危机重重的楚国，二人虽相知相恋，却不能相守相依。为了冲破命运的桎梏，二人不畏门第之别，相爱相惜，在同恶霸与权贵的斗争中卷入了宫斗权争、家国情仇的漩涡。与此同时，身负宏才大略的屈原，一步步踏上了拯危救国、九死不悔的旅程。有心报国，无力回天，屈原终万念俱灰，痛沉于汨罗江；莫愁女则驾舟去远，从此荡舟江湖。,81,电视剧场\大陆剧场,思美人,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10022,无,高清,40376,无,33260,1,32980,00:00.0,59:31.0,节目层,无,3405.89,40706
白鹿原(04),2017/5/13 9:41,刘进,张嘉译，何冰，秦海璐,2016,该剧是一部20世纪初渭河平原50年变迁史。特殊的背景，浓厚的关中风情，土地革命、抗日战争、解放战争，古老的土地，上演了一幕幕惊心动魄的画面。剧中朱先生对传统道德的坚守，白嘉轩勤劳与自私，鹿子霖望子成龙，白孝文情感波折，白灵投奔革命，黑娃被迫为匪，鹿兆鹏追求理想，鹿兆海舍生为义，演绎了两个家庭不同子孙，曲折的人生轨迹和命运归宿。,85,电视剧场\大陆剧场,白鹿原,中文,MP2,国语,大陆,16:09,H264,6M,彩色,10022,无,高清,16240,无,33254,1,32974,00:00.0,40:58.2,节目层,无,2345.32,40710
进击的机甲之圣戒飞陀(31),2017/5/12 17:59,马宏亮，余怡诗,无,2015,在未知世界里，人们热衷于陀螺的竞技，甚至靠陀螺来解决生活中的纠纷。黑暗组织却利用“圣戒飞陀”妄图夺取地球资源，剑一和小伙伴们为了保护地球踏上了陀螺对抗之旅。,40,电视剧场\大陆剧场,进击的机甲之圣戒飞陀,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,41745,无,33234,1,32950,00:00.0,22:04.0,节目层,无,324.28,27250
进击的机甲之圣戒飞陀(28),2017/5/12 17:57,马宏亮，余怡诗,无,2015,在未知世界里，人们热衷于陀螺的竞技，甚至靠陀螺来解决生活中的纠纷。黑暗组织却利用“圣戒飞陀”妄图夺取地球资源，剑一和小伙伴们为了保护地球踏上了陀螺对抗之旅。,40,电视剧场\大陆剧场,进击的机甲之圣戒飞陀,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,31022,无,33231,1,32954,00:00.0,22:04.0,节目层,无,324.28,27203
进击的机甲之圣戒飞陀(26),2017/5/12 17:56,马宏亮，余怡诗,无,2015,在未知世界里，人们热衷于陀螺的竞技，甚至靠陀螺来解决生活中的纠纷。黑暗组织却利用“圣戒飞陀”妄图夺取地球资源，剑一和小伙伴们为了保护地球踏上了陀螺对抗之旅。,40,电视剧场\大陆剧场,进击的机甲之圣戒飞陀,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,17654,无,33229,1,32955,00:00.0,22:04.0,节目层,无,324.28,27139
进击的机甲之圣戒飞陀(25),2017/5/12 17:55,马宏亮，余怡诗,无,2015,在未知世界里，人们热衷于陀螺的竞技，甚至靠陀螺来解决生活中的纠纷。黑暗组织却利用“圣戒飞陀”妄图夺取地球资源，剑一和小伙伴们为了保护地球踏上了陀螺对抗之旅。,40,电视剧场\大陆剧场,进击的机甲之圣戒飞陀,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,27984,无,33228,1,32956,00:00.0,22:04.0,节目层,无,324.28,27189
进击的机甲之圣戒飞陀(22),2017/5/12 17:53,马宏亮，余怡诗,无,2015,在未知世界里，人们热衷于陀螺的竞技，甚至靠陀螺来解决生活中的纠纷。黑暗组织却利用“圣戒飞陀”妄图夺取地球资源，剑一和小伙伴们为了保护地球踏上了陀螺对抗之旅。,40,电视剧场\大陆剧场,进击的机甲之圣戒飞陀,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,39127,无,33225,1,32960,00:00.0,22:04.0,节目层,无,324.28,27237
进击的机甲之圣戒飞陀(19),2017/5/12 17:50,马宏亮，余怡诗,无,2015,在未知世界里，人们热衷于陀螺的竞技，甚至靠陀螺来解决生活中的纠纷。黑暗组织却利用“圣戒飞陀”妄图夺取地球资源，剑一和小伙伴们为了保护地球踏上了陀螺对抗之旅。,40,电视剧场\大陆剧场,进击的机甲之圣戒飞陀,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,27714,无,33222,1,32963,00:00.0,22:04.0,节目层,无,324.28,27187
进击的机甲之圣戒飞陀(16),2017/5/12 17:48,马宏亮，余怡诗,无,2015,在未知世界里，人们热衷于陀螺的竞技，甚至靠陀螺来解决生活中的纠纷。黑暗组织却利用“圣戒飞陀”妄图夺取地球资源，剑一和小伙伴们为了保护地球踏上了陀螺对抗之旅。,40,电视剧场\大陆剧场,进击的机甲之圣戒飞陀,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,36759,无,33219,1,32966,00:00.0,22:04.0,节目层,无,324.28,27225
进击的机甲之圣戒飞陀(13),2017/5/12 17:46,马宏亮，余怡诗,无,2015,在未知世界里，人们热衷于陀螺的竞技，甚至靠陀螺来解决生活中的纠纷。黑暗组织却利用“圣戒飞陀”妄图夺取地球资源，剑一和小伙伴们为了保护地球踏上了陀螺对抗之旅。,40,电视剧场\大陆剧场,进击的机甲之圣戒飞陀,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,21405,无,33216,1,33003,00:00.0,22:04.0,节目层,无,324.28,27164
进击的机甲之圣戒飞陀(12),2017/5/12 17:45,马宏亮，余怡诗,无,2015,在未知世界里，人们热衷于陀螺的竞技，甚至靠陀螺来解决生活中的纠纷。黑暗组织却利用“圣戒飞陀”妄图夺取地球资源，剑一和小伙伴们为了保护地球踏上了陀螺对抗之旅。,40,电视剧场\大陆剧场,进击的机甲之圣戒飞陀,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,14884,无,33215,1,32993,00:00.0,22:04.0,节目层,无,324.28,27125
进击的机甲之圣戒飞陀(06),2017/5/12 17:40,马宏亮，余怡诗,无,2015,在未知世界里，人们热衷于陀螺的竞技，甚至靠陀螺来解决生活中的纠纷。黑暗组织却利用“圣戒飞陀”妄图夺取地球资源，剑一和小伙伴们为了保护地球踏上了陀螺对抗之旅。,40,电视剧场\大陆剧场,进击的机甲之圣戒飞陀,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,11536,无,33209,1,33000,00:00.0,22:04.0,节目层,无,324.28,27114
机甲兽神之爆裂飞车(35),2017/5/12 17:30,曹东波,无,2016,飞伦、擎锋是一对热爱爆裂飞车运动的兄弟，一次机缘巧合，他们结识了神秘的爆裂飞车风暴猎鹰，然而没等他们搞清现状，自称黑暗战士的爆裂飞车却出现了……,40,电视剧场\大陆剧场,机甲兽神之爆裂飞车,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,49148,无,33198,1,33007,00:00.0,22:56.1,节目层,无,337.05,27287
战斗王之飓风战魂 第三季(38),2017/5/12 17:29,寒竹,无,2015,叶枫为了与更多选手对战来到了风轮镇，在镇上他遇到昔日好友。来自异次元的神秘精灵暗绝元冥企图破坏所有战斗陀螺。为了阻止它，叶枫他们决定报名参加最强陀螺手争霸大赛。,40,电视剧场\大陆剧场,战斗王之飓风战魂 第三季,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,48446,无,33195,1,33066,00:00.0,22:52.1,节目层,无,336.12,27282
机甲兽神之爆裂飞车(31),2017/5/12 17:27,曹东波,无,2016,飞伦、擎锋是一对热爱爆裂飞车运动的兄弟，一次机缘巧合，他们结识了神秘的爆裂飞车风暴猎鹰，然而没等他们搞清现状，自称黑暗战士的爆裂飞车却出现了……,40,电视剧场\大陆剧场,机甲兽神之爆裂飞车,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,47387,无,33190,1,33014,00:00.0,22:57.0,节目层,无,337.24,27277
机甲兽神之爆裂飞车(29),2017/5/12 17:25,曹东波,无,2016,飞伦、擎锋是一对热爱爆裂飞车运动的兄弟，一次机缘巧合，他们结识了神秘的爆裂飞车风暴猎鹰，然而没等他们搞清现状，自称黑暗战士的爆裂飞车却出现了……,40,电视剧场\大陆剧场,机甲兽神之爆裂飞车,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,49027,无,33186,1,33019,00:00.0,22:55.2,节目层,无,336.95,27285
战斗王之飓风战魂 第三季(30),2017/5/12 17:22,寒竹,无,2015,叶枫为了与更多选手对战来到了风轮镇，在镇上他遇到昔日好友。来自异次元的神秘精灵暗绝元冥企图破坏所有战斗陀螺。为了阻止它，叶枫他们决定报名参加最强陀螺手争霸大赛。,40,电视剧场\大陆剧场,战斗王之飓风战魂 第三季,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,10139,无,33179,1,33049,00:00.0,22:51.2,节目层,无,335.99,27104
机甲兽神之爆裂飞车(21),2017/5/12 17:18,曹东波,无,2016,飞伦、擎锋是一对热爱爆裂飞车运动的兄弟，一次机缘巧合，他们结识了神秘的爆裂飞车风暴猎鹰，然而没等他们搞清现状，自称黑暗战士的爆裂飞车却出现了……,40,电视剧场\大陆剧场,机甲兽神之爆裂飞车,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,22043,无,33169,1,33037,00:00.0,22:56.1,节目层,无,337.07,27167
战斗王之飓风战魂 第三季(25),2017/5/12 17:17,寒竹,无,2015,叶枫为了与更多选手对战来到了风轮镇，在镇上他遇到昔日好友。来自异次元的神秘精灵暗绝元冥企图破坏所有战斗陀螺。为了阻止它，叶枫他们决定报名参加最强陀螺手争霸大赛。,40,电视剧场\大陆剧场,战斗王之飓风战魂 第三季,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,17752,无,33168,1,33078,00:00.0,22:51.1,节目层,无,335.89,27140
机甲兽神之爆裂飞车(20),2017/5/12 17:17,曹东波,无,2016,飞伦、擎锋是一对热爱爆裂飞车运动的兄弟，一次机缘巧合，他们结识了神秘的爆裂飞车风暴猎鹰，然而没等他们搞清现状，自称黑暗战士的爆裂飞车却出现了……,40,电视剧场\大陆剧场,机甲兽神之爆裂飞车,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,10545,无,33167,1,33033,00:00.0,22:57.0,节目层,无,337.24,27106
战斗王之飓风战魂 第三季(23),2017/5/12 17:16,寒竹,无,2015,叶枫为了与更多选手对战来到了风轮镇，在镇上他遇到昔日好友。来自异次元的神秘精灵暗绝元冥企图破坏所有战斗陀螺。为了阻止它，叶枫他们决定报名参加最强陀螺手争霸大赛。,40,电视剧场\大陆剧场,战斗王之飓风战魂 第三季,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,44219,无,33164,1,33079,00:00.0,22:51.2,节目层,无,336.01,27262
战斗王之飓风战魂 第三季(20),2017/5/12 17:13,寒竹,无,2015,叶枫为了与更多选手对战来到了风轮镇，在镇上他遇到昔日好友。来自异次元的神秘精灵暗绝元冥企图破坏所有战斗陀螺。为了阻止它，叶枫他们决定报名参加最强陀螺手争霸大赛。,40,电视剧场\大陆剧场,战斗王之飓风战魂 第三季,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,21227,无,33157,1,33081,00:00.0,22:51.2,节目层,无,335.98,27163
战斗王之飓风战魂 第三季(19),2017/5/12 17:12,寒竹,无,2015,叶枫为了与更多选手对战来到了风轮镇，在镇上他遇到昔日好友。来自异次元的神秘精灵暗绝元冥企图破坏所有战斗陀螺。为了阻止它，叶枫他们决定报名参加最强陀螺手争霸大赛。,40,电视剧场\大陆剧场,战斗王之飓风战魂 第三季,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,50482,无,33155,1,33085,00:00.0,22:51.2,节目层,无,336,27298
战斗王之飓风战魂 第三季(17),2017/5/12 17:10,寒竹,无,2015,叶枫为了与更多选手对战来到了风轮镇，在镇上他遇到昔日好友。来自异次元的神秘精灵暗绝元冥企图破坏所有战斗陀螺。为了阻止它，叶枫他们决定报名参加最强陀螺手争霸大赛。,40,电视剧场\大陆剧场,战斗王之飓风战魂 第三季,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,11376,无,33151,1,33051,00:00.0,22:52.0,节目层,无,336.04,27113
战斗王之飓风战魂 第三季(15),2017/5/12 17:09,寒竹,无,2015,叶枫为了与更多选手对战来到了风轮镇，在镇上他遇到昔日好友。来自异次元的神秘精灵暗绝元冥企图破坏所有战斗陀螺。为了阻止它，叶枫他们决定报名参加最强陀螺手争霸大赛。,40,电视剧场\大陆剧场,战斗王之飓风战魂 第三季,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,46643,无,33147,1,33052,00:00.0,22:52.0,节目层,无,336.02,27269
机甲兽神之爆裂飞车(07),2017/5/12 17:06,曹东波,无,2016,飞伦、擎锋是一对热爱爆裂飞车运动的兄弟，一次机缘巧合，他们结识了神秘的爆裂飞车风暴猎鹰，然而没等他们搞清现状，自称黑暗战士的爆裂飞车却出现了……,40,电视剧场\大陆剧场,机甲兽神之爆裂飞车,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,18863,无,33141,1,33045,00:00.0,22:56.2,节目层,无,337.24,27145
战斗王之飓风战魂 第三季(09),2017/5/12 17:03,寒竹,无,2015,叶枫为了与更多选手对战来到了风轮镇，在镇上他遇到昔日好友。来自异次元的神秘精灵暗绝元冥企图破坏所有战斗陀螺。为了阻止它，叶枫他们决定报名参加最强陀螺手争霸大赛。,40,电视剧场\大陆剧场,战斗王之飓风战魂 第三季,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,51785,无,33134,1,33058,00:00.0,22:52.0,节目层,无,336.04,27305
机甲兽神之爆裂飞车(03),2017/5/12 17:03,曹东波,无,2016,飞伦、擎锋是一对热爱爆裂飞车运动的兄弟，一次机缘巧合，他们结识了神秘的爆裂飞车风暴猎鹰，然而没等他们搞清现状，自称黑暗战士的爆裂飞车却出现了……,40,电视剧场\大陆剧场,机甲兽神之爆裂飞车,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,26177,无,33133,1,33028,00:00.0,22:56.1,节目层,无,337.09,27181
战斗王之飓风战魂 第三季(07),2017/5/12 17:01,寒竹,无,2015,叶枫为了与更多选手对战来到了风轮镇，在镇上他遇到昔日好友。来自异次元的神秘精灵暗绝元冥企图破坏所有战斗陀螺。为了阻止它，叶枫他们决定报名参加最强陀螺手争霸大赛。,40,电视剧场\大陆剧场,战斗王之飓风战魂 第三季,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,50575,无,33130,1,33059,00:00.0,22:51.2,节目层,无,336.01,27300
战斗王之飓风战魂 第三季(05),2017/5/12 17:00,寒竹,无,2015,叶枫为了与更多选手对战来到了风轮镇，在镇上他遇到昔日好友。来自异次元的神秘精灵暗绝元冥企图破坏所有战斗陀螺。为了阻止它，叶枫他们决定报名参加最强陀螺手争霸大赛。,40,电视剧场\大陆剧场,战斗王之飓风战魂 第三季,中文,MP2,国语,大陆,4:03,H264,2M,彩色,10038,无,标清,23151,无,33127,1,33061,00:00.0,22:51.2,节目层,无,335.97,27170
潮童天下：法文小翻译,2017/5/12 16:51,无,无,2014,潮童天下：法文小翻译——就是不脱；理想是买车；天文地理；爱你爱我；同步翻译；法语歌《绿老鼠》；为人类工作；上海儿歌；两只蝴蝶。,1,电视剧场\大陆剧场,潮童天下,中文,MP2,国语,中国,4:03,H264,2M,彩色,10038,无,标清,28908,无,33120,1,33124,00:00.0,21:59.0,节目层,无,323.06,27193
每日妈妈(21),2017/5/12 16:35,小林圣太郎,无,2011,元气妈妈有一个淘气的儿子和一个刁蛮的女儿，她一边赶稿，一边抚养儿子文治和女儿富美，对待孩子虽然有点马虎，但从注视着他们的目光中能感受到亲切与爱。,63,电视剧场\日韩剧场,每日妈妈,中文,MP2,国语,日本,4:03,H264,2M,彩色,10038,无,标清,22234,无,33108,1,33109,00:00.0,20:15.1,节目层,无,297.73,27168
每日妈妈(20),2017/5/12 16:34,小林圣太郎,无,2011,元气妈妈有一个淘气的儿子和一个刁蛮的女儿，她一边赶稿，一边抚养儿子文治和女儿富美，对待孩子虽然有点马虎，但从注视着他们的目光中能感受到亲切与爱。,63,电视剧场\日韩剧场,每日妈妈,中文,MP2,国语,日本,4:03,H264,2M,彩色,10038,无,标清,51353,无,33107,1,33094,00:00.0,20:15.0,节目层,无,297.65,27303
每日妈妈(18),2017/5/12 16:33,小林圣太郎,无,2011,元气妈妈有一个淘气的儿子和一个刁蛮的女儿，她一边赶稿，一边抚养儿子文治和女儿富美，对待孩子虽然有点马虎，但从注视着他们的目光中能感受到亲切与爱。,63,电视剧场\日韩剧场,每日妈妈,中文,MP2,国语,日本,4:03,H264,2M,彩色,10038,无,标清,11250,无,33105,1,33101,00:00.0,20:15.1,节目层,无,297.75,27111
每日妈妈(15),2017/5/12 16:30,小林圣太郎,无,2011,元气妈妈有一个淘气的儿子和一个刁蛮的女儿，她一边赶稿，一边抚养儿子文治和女儿富美，对待孩子虽然有点马虎，但从注视着他们的目光中能感受到亲切与爱。,63,电视剧场\日韩剧场,每日妈妈,中文,MP2,国语,日本,4:03,H264,2M,彩色,10038,无,标清,38494,无,33103,1,33096,00:00.0,20:15.1,节目层,无,297.68,27235
每日妈妈(14),2017/5/12 16:29,小林圣太郎,无,2011,元气妈妈有一个淘气的儿子和一个刁蛮的女儿，她一边赶稿，一边抚养儿子文治和女儿富美，对待孩子虽然有点马虎，但从注视着他们的目光中能感受到亲切与爱。,63,电视剧场\日韩剧场,每日妈妈,中文,MP2,国语,日本,4:03,H264,2M,彩色,10038,无,标清,19091,无,33102,1,33097,00:00.0,20:15.2,节目层,无,297.81,27147
每日妈妈(08),2017/5/12 16:24,小林圣太郎,无,2011,元气妈妈有一个淘气的儿子和一个刁蛮的女儿，她一边赶稿，一边抚养儿子文治和女儿富美，对待孩子虽然有点马虎，但从注视着他们的目光中能感受到亲切与爱。,63,电视剧场\日韩剧场,每日妈妈,中文,MP2,国语,日本,4:03,H264,2M,彩色,10038,无,标清,35223,无,33096,1,33106,00:00.0,20:15.1,节目层,无,297.76,27215
小猪佩奇 第四季(18),2017/5/12 16:12,无,无,2010,佩奇是一个可爱的但是有些小专横的小猪。五岁的她和猪妈妈、猪爸爸、弟弟乔治生活在一起。佩奇最喜欢玩游戏，打扮得漂漂亮亮，以及拜访她的猪爷爷，猪奶奶。,26,电视剧场\欧美剧场,小猪佩奇 第四季,中文,MP2,国语,英国,4:03,H264,2M,彩色,10038,无,标清,42966,无,33081,1,33147,00:00.0,04:58.1,节目层,无,73.45,27257
小猪佩奇 第四季(17),2017/5/12 16:12,无,无,2010,佩奇是一个可爱的但是有些小专横的小猪。五岁的她和猪妈妈、猪爸爸、弟弟乔治生活在一起。佩奇最喜欢玩游戏，打扮得漂漂亮亮，以及拜访她的猪爷爷，猪奶奶。,26,电视剧场\欧美剧场,小猪佩奇 第四季,中文,MP2,国语,英国,4:03,H264,2M,彩色,10038,无,标清,29772,无,33080,1,33144,00:00.0,04:58.2,节目层,无,73.5,27200
小猪佩奇 第四季(11),2017/5/12 16:11,无,无,2010,佩奇是一个可爱的但是有些小专横的小猪。五岁的她和猪妈妈、猪爸爸、弟弟乔治生活在一起。佩奇最喜欢玩游戏，打扮得漂漂亮亮，以及拜访她的猪爷爷，猪奶奶。,26,电视剧场\欧美剧场,小猪佩奇 第四季,中文,MP2,国语,英国,4:03,H264,2M,彩色,10038,无,标清,47273,无,33074,1,33150,00:00.0,05:00.2,节目层,无,73.99,27274
小猪佩奇 第四季(04),2017/5/12 16:09,无,无,2010,佩奇是一个可爱的但是有些小专横的小猪。五岁的她和猪妈妈、猪爸爸、弟弟乔治生活在一起。佩奇最喜欢玩游戏，打扮得漂漂亮亮，以及拜访她的猪爷爷，猪奶奶。,26,电视剧场\欧美剧场,小猪佩奇 第四季,中文,MP2,国语,英国,4:03,H264,2M,彩色,10038,无,标清,11922,无,33067,1,33162,00:00.0,04:58.1,节目层,无,73.48,27115
小老虎丹尼尔 第一季(中)(24),2017/5/12 16:00,无,无,2012,丹尼尔是一头害羞、勇敢的4岁老虎。从他的邻居、家人和朋友的帮助中，丹尼尔明白和相信，学会必要的技能是学习和生活中的关键。,25,电视剧场\欧美剧场,小老虎丹尼尔 第一季(中),中文,MP2,国语,美国,4:03,H264,2M,彩色,10038,无,标清,40890,无,33062,1,33168,00:00.0,12:06.2,节目层,无,178.22,27246
小老虎丹尼尔 第一季(中)(09),2017/5/12 15:52,无,无,2012,丹尼尔是一头害羞、勇敢的4岁老虎。从他的邻居、家人和朋友的帮助中，丹尼尔明白和相信，学会必要的技能是学习和生活中的关键。,25,电视剧场\欧美剧场,小老虎丹尼尔 第一季(中),中文,MP2,国语,美国,4:03,H264,2M,彩色,10038,无,标清,29242,无,33047,1,33171,00:00.0,11:56.1,节目层,无,175.68,27196
誓约,2017/5/12 15:48,迈克尔·苏克西,查宁·塔图姆，瑞秋·麦克亚当斯,2012,佩吉和里奥是新婚夫妇，两个人都是艺术家，居住在芝加哥，并且疯狂地爱着对方。在一个雪夜，意外发生了，他们停在路口的车被一辆货车撞了。里奥死里逃生，但是佩吉却陷入了昏迷之中。当她苏醒之后，里奥已经变成了一个陌生人--她失去了五年的记忆。,1,家庭影院\爱情,无,中文,MPEG,英语,美国,4:03,MPEG2,7.5M,彩色,10051,无,标清,44915,无,33040,1,32936,00:00.0,43:45.2,节目层,无,4140.01,40653
170512-01零点乐队演唱会宣传汇总,2017/5/12 15:29,无,无,2017,170512-01零点乐队演唱会宣传汇总,1,广告,精彩抢先看,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10059,无,高清,46305,无,33036,1,33118,00:00.0,12:03.1,节目层,无,672.95,40700
两生花,2017/5/12 15:21,克日什托夫·基耶斯洛夫斯基,伊莲娜·雅各布，卡里娜·谢鲁斯克,1991,两个少女，一个生在波兰，一个生在法国，同样的相貌，同样的年龄，她们也有一样的名字：薇罗尼卡。她们都那样喜欢音乐，嗓音甜美。波兰的薇罗尼卡非常喜欢唱歌，唱高音特别出众。她觉得自己并不是独自一人生活在这个世界上，没想到一天她真的遇到一个样子跟她一模一样的女孩，可是她自己却在一次表演中心脏病发暴毙在舞台上。此时身在法国的薇罗尼卡正沉醉在与男友的欢愉中，突然她觉得特别的空虚难过。此后她的生活中便常常响起一段极其哀怨的曲子，她爱上了一个儿童读物作家。一次与男友聊天的过程中，她发现了在波兰拍的照片中，出现了一个与自己极为相似的女子，此时她才深深相信，世界上还有另外一个自己存在。,1,家庭影院\爱情,无,中文,AC3,英语,法国,4:03,MPEG2,7.5M,彩色,10051,无,标清,51688,无,33034,1,32939,00:00.0,33:46.0,节目层,无,3741.28,40684
比佛利拜金狗2,2017/5/12 15:07,AlexZamm,奥黛塔·雅丝曼,2011,叙述终成眷属的吉娃娃伴侣Papi和Chloe如今共组家庭，但是他们的冒险可没有因此结束喔！没多久五只小狗狗们就报到了，Papi和Chloe成天开始忙着应付这些小鬼头，防止他们闯祸，给人类主人以及邻居带来不必要的麻烦。而且他们的挑战还不仅于此，这次虽然没有翻山越岭，但即使在比佛利本地也会面临许多冒险，面对一只娇娇狗的挑衅，吉娃娃们还必须登上狗狗名模伸展台，让比佛利狗狗时尚界大开眼界！,1,家庭影院\喜剧,无,中文,MP2,英语,美国,4:03,MPEG2,7.5M,彩色,10051,无,标清,32687,无,33033,1,32940,00:00.0,23:35.2,节目层,无,3335.56,40644
星兽猎人(01),2017/5/12 15:00,吴冠廷,刘红韵，张力萌，申克，宋磊，李旭乔,2017,千年前，人类与这片大陆上称霸的恶兽对抗，勇敢的猎人得到星兽龙王的力量成功驱逐恶兽，星兽猎人从此诞生，兽族也分化为两个派别——星兽和恶兽。少年星成梦想成为出色的星兽猎人，与凯炎兽搭档击退恶兽后得到爸爸认可，进入圣猎联盟学习，并与东阳、西亚、蓝夜成为好友。此时，禁龙猎团鼓动恶兽袭击人类，星成爆发驭龙之力解决危机，凯炎兽却被负能量影响失控。为拯救凯炎兽，星成前往圣山求助圣铠龙团，却遭到禁龙猎团袭击，星成凭借赤焰双龙和凯炎兽的力量击败禁龙猎团。再度失控的凯炎兽离开大家后被禁龙猎团捕捉，星成为救凯炎兽付出驭龙之力，却解封了暗亡魔龙，让猎人世界陷入危机。最后星成唤醒星兽猎神，一举击败暗亡魔龙，恢复世界和平……,38,电视剧场\大陆剧场,星兽猎人,中文,MP2,国语,大陆,16:09,H264,7M,彩色,10013,无,高清,31095,无,33031,1,35787,00:00.0,23:13.0,节目层,无,1328.74,40656
职场是个技术活(02),2017/5/12 10:16,李牧鸽,王耀庆，潘之琳，应采儿，魏千翔，邱璐璠,2017,讲述了一位女强人大刀阔斧做改革，最后力挽狂澜，拯救了即将面临倒闭的化妆品公司，过程中发生的商战故事。,30,电视剧场\大陆剧场,职场是个技术活,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,51397,无,33020,1,32739,00:00.0,40:09.2,节目层,无,1602.56,40657
职场是个技术活(01),2017/5/12 10:12,李牧鸽,王耀庆，潘之琳，应采儿，魏千翔，邱璐璠,2017,讲述了一位女强人大刀阔斧做改革，最后力挽狂澜，拯救了即将面临倒闭的化妆品公司，过程中发生的商战故事。,30,电视剧场\大陆剧场,职场是个技术活,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,41224,无,33019,1,32738,00:00.0,42:03.1,节目层,无,1678.11,40654
择天记(32),2017/5/12 9:30,钟澍佳，麦咏麟，孔厉大,鹿晗，古力娜扎，吴倩，曾舜晞，许龄月，张峻宁，高瀚宇，林思意,2017,讲述了在人妖魔共存的架空世界里，陈长生为了逆天改命，带着一纸婚书来到神都，结识了一群志同道合的小伙伴，在国教学院打开一片新天地的故事。,52,电视剧场\大陆剧场,择天记,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,18934,无,33010,1,32724,00:00.0,37:14.2,节目层,无,1486.22,40676
白鹿原(02),2017/5/12 9:11,刘进,张嘉译，何冰，秦海璐,2016,该剧是一部20世纪初渭河平原50年变迁史。特殊的背景，浓厚的关中风情，土地革命、抗日战争、解放战争，古老的土地，上演了一幕幕惊心动魄的画面。剧中朱先生对传统道德的坚守，白嘉轩勤劳与自私，鹿子霖望子成龙，白孝文情感波折，白灵投奔革命，黑娃被迫为匪，鹿兆鹏追求理想，鹿兆海舍生为义，演绎了两个家庭不同子孙，曲折的人生轨迹和命运归宿。,85,电视剧场\大陆剧场,白鹿原,中文,MP2,国语,大陆,16:09,H264,6M,彩色,10022,无,高清,50193,无,32999,1,32725,00:00.0,41:12.2,节目层,无,2358.57,40647
05月11日 积高侠与阿里巴巴(南方少儿),2017/5/12 9:00,无,无,2017,05月11日 积高侠与阿里巴巴,1,电视剧场,积高侠与阿里巴巴,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,少儿,标清,29315,无,32997,1,32720,00:00.0,53:59.0,节目层,无,2154.08,40692
